ID,X1,X2,X3,X4,X5,X6,X7,X6,Class
0,0.440982059,0.502066116,0.570780399,0.486486486,0.486101212,0.189301642,0.345150172,0.189301642,1
1,0.40509915,0.446280992,0.662431942,0.368806306,0.501069138,0.032883018,0.215164943,0.032883018,1
2,0.349386213,0.347107438,0.879310345,0.220720721,0.503920171,0.251453016,0.150664697,0.251453016,1
3,0.306893296,0.316115702,0.793103448,0.239301802,0.533856023,0.194242546,0.140817331,0.194242546,1
4,0.52407932,0.533057851,0.864791289,0.427364865,0.664290805,0.076701036,0.322993599,0.076701036,1
5,0.357884797,0.371900826,0.789473684,0.274211712,0.486101212,0.220637377,0.215164943,0.220637377,1
6,0.387157696,0.429752066,0.65154265,0.373873874,0.448325018,0.366784121,0.344657804,0.366784121,1
7,0.332389046,0.349173554,0.753176044,0.293355856,0.478973628,0.25158304,0.236829148,0.25158304,1
8,0.570349386,0.630165289,0.604355717,0.649774775,0.595153243,0.165767335,0.66863614,0.165767335,1
9,0.552407932,0.58677686,0.725045372,0.554617117,0.623663578,0.156535646,0.499261448,0.156535646,1
10,0.440982059,0.504132231,0.558076225,0.458896396,0.436208125,0.491216893,0.391432792,0.491216893,1
11,0.32483475,0.361570248,0.648820327,0.303490991,0.406985032,0.12376965,0.237321516,0.12376965,1
12,0.311614731,0.332644628,0.725045372,0.304054054,0.405559515,0.418793639,0.107828656,0.418793639,1
13,0.301227573,0.340909091,0.615245009,0.326576577,0.374910905,0.308273414,0.173806007,0.308273414,1
14,0.297450425,0.338842975,0.601633394,0.328265766,0.344975053,0.28174856,0.150664697,0.28174856,1
15,0.377714825,0.386363636,0.827586207,0.254504505,0.501069138,0.444668374,0.129000492,0.444668374,1
16,0.321057602,0.29338843,1,0.123873874,0.536707056,0.581063335,0.129000492,0.581063335,1
17,0.481586402,0.483471074,0.886569873,0.353603604,0.630078403,0.108426842,0.25947809,0.108426842,1
18,0.388101983,0.371900826,0.97277677,0.172297297,0.595866001,0.13027084,0.064007878,0.13027084,1
19,0.201133144,0.239669421,0.549001815,0.184121622,0.298645759,0.433876399,0.194485475,0.433876399,1
20,0.337110482,0.411157025,0.456442831,0.427364865,0.355666429,0.299951891,0.323485968,0.299951891,1
21,0.332389046,0.382231405,0.581669691,0.349662162,0.383464006,0.250022754,0.344657804,0.250022754,1
22,0.499527856,0.51446281,0.823049002,0.404842342,0.625089095,0,0.281634663,0,1
23,0.140698772,0.169421488,0.529038113,0.112612613,0.218104063,0.084502464,0.217626785,0.084502464,1
24,0.417374882,0.48553719,0.522686025,0.501126126,0.438346401,0.133391411,0.237321516,0.133391411,1
25,0.528800755,0.568181818,0.696914701,0.525900901,0.563791875,0.017930281,0.387986214,0.017930281,1
26,0.229461756,0.27892562,0.508166969,0.279279279,0.282252316,0.339089053,0.150664697,0.339089053,1
27,0.203021719,0.260330579,0.438294011,0.279279279,0.23235923,0.226098376,0.172328902,0.226098376,1
28,0.332389046,0.365702479,0.670598911,0.361486486,0.4212402,0.258604325,0.255539143,0.258604325,1
29,0.2700661,0.332644628,0.474591652,0.34740991,0.310049893,0.359632813,0.284588872,0.359632813,1
30,0.242681775,0.291322314,0.52722323,0.3125,0.245901639,0.011702141,0.264401773,0.011702141,1
31,0.462700661,0.522727273,0.583484574,0.483108108,0.528153956,0.344159981,0.349089119,0.344159981,1
32,0.330500472,0.41322314,0.406533575,0.460585586,0.396293656,0.410212069,0.384047267,0.410212069,1
33,0.316336166,0.363636364,0.587114338,0.386261261,0.370634355,0.176689334,0.242737568,0.176689334,1
34,0.42115203,0.469008264,0.633393829,0.45777027,0.497505346,0.177339453,0.414081733,0.177339453,1
35,0.522190746,0.535123967,0.833938294,0.456081081,0.609408411,0.195672808,0.454948301,0.195672808,1
36,0.529745042,0.590909091,0.592558984,0.521959459,0.594440485,0.267575966,0.496307238,0.267575966,1
37,0.612842304,0.613636364,0.905626134,0.525337838,0.750534569,0.284869131,0.475135401,0.284869131,1
38,0.397544854,0.435950413,0.673321234,0.426238739,0.468995011,0.305152843,0.38897095,0.305152843,1
39,0.348441926,0.363636364,0.783121597,0.280405405,0.476122594,0.76972786,0.237321516,0.76972786,1
40,0.278564684,0.297520661,0.716878403,0.252815315,0.374910905,0.236890351,0.324470704,0.236890351,1
41,0.274787535,0.297520661,0.699637024,0.254504505,0.376336422,0.192942308,0.323485968,0.192942308,1
42,0.242681775,0.23553719,0.842105263,0.134572072,0.406985032,0.220507353,0.129985229,0.220507353,1
43,0.463644948,0.506198347,0.670598911,0.550675676,0.545972915,0.51306089,0.496799606,0.51306089,1
44,0.426817753,0.440082645,0.82123412,0.382882883,0.593014968,0.307233224,0.325455441,0.307233224,1
45,0.303116147,0.33677686,0.647005445,0.268581081,0.374198147,0.103355914,0.217626785,0.103355914,1
46,0.450424929,0.48553719,0.707803993,0.451576577,0.54383464,0.078261322,0.301821763,0.078261322,1
47,0.415486308,0.444214876,0.727767695,0.377815315,0.532430506,0.285129179,0.322993599,0.285129179,1
48,0.396600567,0.435950413,0.66969147,0.363738739,0.471133286,0.252103135,0.291482029,0.252103135,1
49,0.403210576,0.466942149,0.539927405,0.438626126,0.447612259,0.177339453,0.409650419,0.177339453,1
50,0.362606232,0.411157025,0.607985481,0.386261261,0.457590877,0.417363377,0.307730182,0.417363377,1
51,0.490084986,0.516528926,0.764065336,0.436373874,0.573057733,0.627741877,0.303791236,0.627741877,1
52,0.368271955,0.454545455,0.414700544,0.459459459,0.344262295,0.435696733,0.431806992,0.435696733,1
53,0.353163362,0.386363636,0.680580762,0.340653153,0.405559515,0.333237983,0.347119645,0.333237983,1
54,0.371104816,0.452479339,0.431941924,0.474099099,0.344262295,0.093084034,0.476612506,0.093084034,1
55,0.419263456,0.487603306,0.523593466,0.45213964,0.414825374,0.151854789,0.452978828,0.151854789,1
56,0.365439093,0.400826446,0.668784029,0.275337838,0.532430506,0.264845467,0.258493353,0.264845467,1
57,0.408876298,0.417355372,0.83938294,0.273085586,0.557377049,0.049005968,0.280157558,0.049005968,1
58,0.452313503,0.487603306,0.704174229,0.429617117,0.562366358,0.16043636,0.346134909,0.16043636,1
59,0.143531634,0.219008264,0.282214156,0.146396396,0.286528867,0.095814534,0,0.095814534,1
60,0.078375826,0.092975207,0.546279492,0.061373874,0.156806842,0.25158304,0.04332841,0.25158304,1
61,0.060434372,0.045454545,0.688747731,0.001689189,0.177476835,0.195542784,0.090595766,0.195542784,1
62,0.16713881,0.161157025,0.764065336,0.099662162,0.29365645,0.319195413,0.042343673,0.319195413,1
63,0.248347498,0.295454545,0.543557169,0.279279279,0.313613685,0.441027708,0.280157558,0.441027708,1
64,0.206798867,0.239669421,0.576225045,0.204391892,0.282252316,0.053426777,0.129492861,0.053426777,1
65,0.216241737,0.225206612,0.724137931,0.135135135,0.348538845,0.206334759,0.04332841,0.206334759,1
66,0.354107649,0.404958678,0.585299456,0.411599099,0.39914469,0.071240037,0.310684392,0.071240037,1
67,0.322946176,0.388429752,0.493647913,0.399774775,0.376336422,0.188781547,0.301821763,0.188781547,1
68,0.35694051,0.409090909,0.585299456,0.377252252,0.37277263,0.09087363,0.384539636,0.09087363,1
69,0.202077432,0.276859504,0.342105263,0.288851351,0.17961511,0.35989286,0.269817824,0.35989286,1
70,0.664778093,0.737603306,0.537205082,0.727477477,0.663578047,0.430495781,0.758739537,0.430495781,2
71,0.590179415,0.673553719,0.491833031,0.618806306,0.608695652,0.508380034,0.66863614,0.508380034,2
72,0.629839471,0.685950413,0.618874773,0.607545045,0.687099073,0.490696798,0.626292467,0.490696798,2
73,0.804532578,0.795454545,0.907441016,0.706644144,0.926585887,0.282268655,0.768094535,0.282268655,2
74,0.58829084,0.640495868,0.639745917,0.629504505,0.610121169,0.421134068,0.650910881,0.421134068,2
75,0.583569405,0.66322314,0.505444646,0.578828829,0.575908767,0.540235863,0.62826194,0.540235863,2
76,0.635505194,0.723140496,0.470054446,0.655968468,0.550962224,0.397729785,0.690792713,0.397729785,2
77,0.955618508,0.995867769,0.618874773,0.945945946,0.843905916,0.479254704,0.951255539,0.479254704,2
78,0.788479698,0.842975207,0.60707804,0.870495495,0.7191732,0.55895929,0.907434761,0.55895929,2
79,0.616619452,0.648760331,0.735934664,0.535472973,0.667141839,0.272126799,0.604135894,0.272126799,2
80,0.560906516,0.605371901,0.673321234,0.54954955,0.59657876,0.619810425,0.670113245,0.619810425,2
81,0.767705382,0.780991736,0.813067151,0.623310811,0.874554526,0.592765476,0.669620876,0.592765476,2
82,0.907459868,0.925619835,0.737749546,0.780405405,0.879543835,0.573131883,0.82127031,0.573131883,2
83,0.847969783,0.894628099,0.633393829,0.836148649,0.813970064,0.09191382,0.863613983,0.09191382,2
84,0.84230406,0.888429752,0.63430127,0.826013514,0.834640057,0.285649274,0.820285574,0.285649274,2
85,0.725212465,0.760330579,0.715970962,0.717342342,0.727726301,0.218166925,0.826193993,0.218166925,2
86,0.782813975,0.795454545,0.805807623,0.66722973,0.808267997,0.114928032,0.782865583,0.114928032,2
87,0.792256846,0.878099174,0.461887477,0.929054054,0.74126871,0.38043662,0.974396849,0.38043662,2
88,1,0.991735537,0.823956443,0.942567568,1,0.652056326,0.842934515,0.652056326,2
89,0.971671388,0.958677686,0.862068966,0.873310811,0.999287242,0.552718147,0.887247661,0.552718147,2
90,0.898016997,0.946280992,0.603448276,0.947072072,0.823235923,0.154715313,0.950270803,0.154715313,2
91,0.771482531,0.783057851,0.819419238,0.716779279,0.831076265,0.306193033,0.755292959,0.306193033,2
92,0.776203966,0.801652893,0.748638838,0.773085586,0.757662153,0.321405817,0.755292959,0.321405817,2
93,0.755429651,0.752066116,0.893829401,0.640765766,0.876692801,0.680791585,0.66863614,0.680791585,2
94,0.733711048,0.849173554,0.336660617,0.994932432,0.609408411,0.541926172,0.949778434,0.541926172,2
95,0.593012276,0.669421488,0.514519056,0.698198198,0.593727726,0.381086739,0.712949286,0.381086739,2
96,0.823418319,0.863636364,0.666061706,0.811936937,0.841054882,0.352611528,0.846381093,0.352611528,2
97,0.792256846,0.859504132,0.549909256,0.872747748,0.657163222,0.17928981,0.952240276,0.17928981,2
98,0.715769594,0.795454545,0.504537205,0.772522523,0.628652887,0.27147668,0.863613983,0.27147668,2
99,0.767705382,0.811983471,0.661524501,0.743243243,0.751247327,0.185010857,0.776957164,0.185010857,2
100,0.549575071,0.58677686,0.712341198,0.461148649,0.637918746,0.448829136,0.541112752,0.448829136,2
101,0.698772427,0.712809917,0.826678766,0.557995495,0.758374911,0.169408002,0.648941408,0.169408002,2
102,0.837582625,0.845041322,0.820326679,0.683558559,0.899501069,0.460661301,0.733628754,0.460661301,2
103,0.811142587,0.871900826,0.577132486,0.827702703,0.749109052,0.337008673,0.841949778,0.337008673,2
104,0.789423985,0.828512397,0.67876588,0.759572072,0.801853172,0.338438934,0.802067947,0.338438934,2
105,0.77809254,0.801652893,0.75862069,0.640765766,0.823948681,0.232469542,0.669620876,0.232469542,2
106,0.779981114,0.776859504,0.884754991,0.705518018,0.838203849,0.270176442,0.827671098,0.270176442,2
107,0.664778093,0.712809917,0.652450091,0.638513514,0.672131148,0.387717952,0.694239291,0.387717952,2
108,0.882908404,0.931818182,0.608892922,1,0.807555239,0.323356174,1,0.323356174,2
109,0.751652502,0.787190083,0.711433757,0.706081081,0.744119743,0.12650015,0.677006401,0.12650015,2
110,0.742209632,0.766528926,0.762250454,0.68018018,0.811831789,0.191121975,0.627769572,0.191121975,2
111,0.830028329,0.890495868,0.576225045,0.790540541,0.827512473,0.378746311,0.711964549,0.378746311,2
112,0.806421152,0.805785124,0.86569873,0.722972973,0.906628653,0.174738977,0.69177745,0.174738977,2
113,0.807365439,0.867768595,0.581669691,0.765765766,0.789023521,0.769337789,0.755292959,0.769337789,2
114,0.980169972,1,0.705989111,0.936936937,0.970064148,0.508640081,0.88478582,0.508640081,2
115,0.799811143,0.834710744,0.701451906,0.854166667,0.77619387,0.192812285,0.809453471,0.192812285,2
116,0.790368272,0.783057851,0.903811252,0.648648649,0.903064861,0.46404192,0.606105367,0.46404192,2
117,0.808309726,0.834710744,0.734119782,0.757882883,0.844618674,0.301512177,0.820285574,0.301512177,2
118,0.783758263,0.789256198,0.841197822,0.747747748,0.811831789,0.373675383,0.712456918,0.373675383,2
119,0.891406988,0.92768595,0.662431942,0.897522523,0.874554526,0.298781677,0.886755293,0.298781677,2
120,0.911237016,0.929752066,0.740471869,0.797297297,0.949394155,0.667789205,0.821762678,0.667789205,2
121,0.712936733,0.766528926,0.627041742,0.653153153,0.665003564,0.371074907,0.734613491,0.371074907,2
122,0.526912181,0.613636364,0.460072595,0.485923423,0.53955809,0.457800778,0.582964057,0.457800778,2
